City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,east london,-33.0153,27.9116,292.07,77,99,6.27,ZA,1727232272
260,rongelap,11.1635,166.8941,301.96,73,17,3.34,MH,1727232272
261,hancheng,32.5186,112.3522,300.89,35,16,0.51,CN,1727232272
262,kerikeri,-35.2268,173.9474,291.53,43,16,2.03,NZ,1727232272
263,kasulu,-4.5767,30.1025,293.91,44,99,1.45,TZ,1727232272
264,zhosaly,45.4878,64.0781,290.95,18,100,7.45,KZ,1727232272
265,hafar al-batin,28.4328,45.9708,301.47,28,0,6.17,SA,1727232273
266,belyy yar,53.6039,91.3903,281.09,57,0,5.0,RU,1727232273
267,petrovka,53.0503,103.1,278.72,75,100,7.13,RU,1727232273
268,colon,9.3592,-79.9014,300.98,81,96,3.58,PA,1727232016
269,saint-francois,46.4154,3.9054,285.84,88,0,2.06,FR,1727232273
270,mossel bay,-34.1831,22.146,288.11,93,100,1.23,ZA,1727232273
271,turaif,31.6725,38.6637,295.29,37,0,3.6,SA,1727232273
272,nuuk,64.1835,-51.7216,277.49,93,2,3.6,GL,1727232257
273,geraldton,-28.7667,114.6,296.38,43,2,6.69,AU,1727232274
274,roha,18.4333,73.1167,297.58,97,100,1.28,IN,1727232274
275,sidi salim,31.271,30.7867,294.77,76,0,2.24,EG,1727232274
276,chimore,-16.9833,-65.1333,298.86,35,0,0.82,BO,1727232274
277,mammoth lakes,37.6485,-118.9721,288.6,27,0,2.06,US,1727232274
278,greymouth,-42.4667,171.2,284.36,58,34,1.83,NZ,1727232274
279,tindouf,27.6711,-8.1474,299.4,50,0,3.09,DZ,1727232274
280,chibougamau,49.9168,-74.3659,287.94,88,100,4.12,CA,1727232274
281,oneonta,42.4529,-75.0638,288.87,83,100,5.32,US,1727232274
282,gadzhiyevo,69.2551,33.3362,280.78,95,100,5.14,RU,1727232275
283,portland,45.5234,-122.6762,301.53,57,79,0.45,US,1727232106
284,oranjestad,12.524,-70.027,303.12,81,20,8.75,AW,1727231984
285,antofagasta,-23.65,-70.4,287.75,82,57,3.15,CL,1727232171
